No,区分,単語数,キーワード,SEO難易度,月間検索数,CPC ($),競合性,出現時期
1,＋,2,避難所 持ち物,null,null,null,null,null
2,＋,3,避難所 持ち物 没収,null,null,null,null,null
3,＋,2,避難所 持ち物リスト,null,null,null,null,null
4,＋,3,避難所 持ち物 最低限,null,null,null,null,null
5,＋,3,避難所 職員 持ち物,null,null,null,null,null
6,＋,3,地震 避難所 持ち物,null,null,null,null,null
7,＋,3,赤ちゃん 避難所 持ち物,null,null,null,null,null
8,＋,3,災害時 避難所 持ち物,null,null,null,null,null
9,＋,3,大雨 避難所 持ち物,null,null,null,null,null
10,＋,3,公務員 避難所 持ち物,null,null,null,null,null
11,＋,3,災害 避難所 持ち物,null,null,null,null,null
12,＋α,3,避難所 女性 持ち物,null,null,null,null,null
